workoutActivityType,creation_datetime,start_datetime,end_datetime,duration,durationUnit
HKWorkoutActivityTypeRunning,2019-08-06 06:19:17-06:00,2019-08-06 05:39:29-06:00,2019-08-06 06:18:45-06:00,37.76843416690826,min
HKWorkoutActivityTypeRunning,2019-08-08 06:31:58-06:00,2019-08-08 05:44:19-06:00,2019-08-08 06:31:42-06:00,47.06451644102732,min
HKWorkoutActivityTypeRunning,2019-08-12 15:02:48-06:00,2019-08-12 14:40:42-06:00,2019-08-12 15:02:41-06:00,20.60599383314451,min
HKWorkoutActivityTypeRunning,2019-08-13 14:33:06-06:00,2019-08-13 14:06:20-06:00,2019-08-13 14:32:58-06:00,13.31698541243871,min
HKWorkoutActivityTypeRunning,2019-08-13 14:45:49-06:00,2019-08-13 14:33:26-06:00,2019-08-13 14:45:44-06:00,11.83479510744413,min
HKWorkoutActivityTypeRunning,2019-08-13 15:16:30-06:00,2019-08-13 14:59:34-06:00,2019-08-13 15:16:24-06:00,16.07665564020475,min
HKWorkoutActivityTypeRunning,2019-08-14 14:40:04-06:00,2019-08-14 14:09:19-06:00,2019-08-14 14:39:55-06:00,28.23119363188744,min
HKWorkoutActivityTypeRunning,2019-08-15 14:23:20-06:00,2019-08-15 14:01:46-06:00,2019-08-15 14:23:13-06:00,20.96875543395678,min
HKWorkoutActivityTypeRunning,2019-08-15 14:50:38-06:00,2019-08-15 14:38:50-06:00,2019-08-15 14:50:33-06:00,11.70606764356295,min
HKWorkoutActivityTypeRunning,2019-08-15 15:25:44-06:00,2019-08-15 14:55:56-06:00,2019-08-15 15:25:33-06:00,29.62017526825269,min
HKWorkoutActivityTypeRunning,2019-08-16 14:44:47-06:00,2019-08-16 14:02:31-06:00,2019-08-16 14:44:36-06:00,38.39913485050202,min
HKWorkoutActivityTypeRunning,2019-08-17 07:43:23-06:00,2019-08-17 07:22:42-06:00,2019-08-17 07:43:15-06:00,18.32384180227915,min
HKWorkoutActivityTypeRunning,2019-08-18 14:50:21-06:00,2019-08-18 14:18:53-06:00,2019-08-18 14:50:01-06:00,31.08955458402634,min
HKWorkoutActivityTypeRunning,2019-08-19 14:54:50-06:00,2019-08-19 14:10:34-06:00,2019-08-19 14:54:27-06:00,41.36855919162432,min
HKWorkoutActivityTypeRunning,2019-08-20 14:15:52-06:00,2019-08-20 14:00:52-06:00,2019-08-20 14:15:39-06:00,14.73818204204241,min
HKWorkoutActivityTypeCycling,2019-08-21 14:25:56-06:00,2019-08-21 14:10:27-06:00,2019-08-21 14:25:52-06:00,15.40496728221575,min
HKWorkoutActivityTypeRunning,2019-08-21 14:41:52-06:00,2019-08-21 14:26:17-06:00,2019-08-21 14:41:44-06:00,15.38933059771856,min
HKWorkoutActivityTypeRunning,2019-08-22 14:23:31-06:00,2019-08-22 14:01:44-06:00,2019-08-22 14:23:22-06:00,19.99349732796351,min
